Name,Rating,Trigger,Ranking,Order_Label
a_CarsHonking_s.wav,0,No,1,1
a_ChildScreaming_s.wav,0,No,2,3
a_CryingMan_s.wav,0,No,3,5
a_DangerAlarm_s.wav,0,No,4,8
a_Fart_s.wav,0,No,5,2
a_FemaleScream_s.wav,0,No,6,4
a_FireTruckAlarm_s.wav,0,No,7,6
a_AlarmClock_s.wav,2,No,8,9
a_AngryBeast_s.wav,3,No,9,7
a_BabiesCrying_s.wav,6,No,10,10
Personalized 2,1,Yes,1,1
Personalized 3,2,Yes,2,3
Personalized 5,2,Yes,3,5
Personalized 5,2,Yes,4,8
Personalized 3,2,Yes,5,2
Personalized 6,4,Yes,6,4
Personalized 6,4,Yes,7,6
Personalized 1,6,Yes,8,9
Personalized 4,6,Yes,9,7
Personalized 4,6,Yes,10,10
