Subject,Date,Order,Name,Rating,Trigger,Memory
4,2024-04-17,8,Personalized 1,-4,Yes,
4,2024-04-17,15,Personalized 4,5,,Yes
4,2024-04-17,14,a_Fart_s.wav,-4,Yes,
4,2024-04-17,22,a_FemaleScream_s.wav,-7,No,
4,2024-04-17,3,a_GhostWhispers_s.wav,-3,Yes,
4,2024-04-17,5,a_PuppyCrying_s.wav,-4,No,
4,2024-04-17,19,a_WomanWailing_s.wav,-4,No,
4,2024-04-17,13,m_ALotOfYawning_s.wav,-6,Yes,
4,2024-04-17,10,m_CrispsAndPacket_s.wav,-4,Yes,
4,2024-04-17,2,m_EatingCandy_s.wav,-5,Yes,
4,2024-04-17,16,m_EatingSmallCrunches_s.wav,-5,Yes,
4,2024-04-17,11,m_FemalePanting_s.wav,-4,Yes,
4,2024-04-17,1,m_GumChewing2_s.wav,-6,Yes,
4,2024-04-17,23,m_IceCubesCrunchingChewing_s.wav,,,
4,2024-04-17,17,m_Keyboard2_s.wav,-5,Yes,
4,2024-04-17,12,m_LipsSmacking_s.wav,-4,Yes,
4,2024-04-17,9,m_SippingCoffeeCombined_s.wav,-4,Yes,
4,2024-04-17,6,m_Sniffling_s.wav,-3,Yes,
4,2024-04-17,4,m_SnoringD_s.wav,-4,Yes,
4,2024-04-17,21,m_ThroatClearing5_s.wav,-6,No,
4,2024-04-17,7,m_Whistling_s.wav,-4,No,
4,2024-04-17,18,m_Yawn_s.wav,-5,Yes,
4,2024-04-17,20,n_RainOnTrees_s.wav,-4,No,
